HCPCS,Modifier,Description,,Billing Unit,Rental Rate,Purchase Rate,Comments
E0156,NU,Walker seat attachment,,Each,,21.5,Purchase Only
E0158,NU,Walker leg extensions,,Set of 4,,23,Purchase Only
E0159,NU,Walker glide brakes,,Pair,,14,Purchase Only
E0163,NU,"Commode, stationary with fixed arms",,Each,,76,Purchase only; commode pail included
E0165,NU/RR,"Commode, stationary with detachable arms",,Each/Month,14.45,130.05,"Billable for replacement to
patient owned commode; otherwise bunded with rental."
E0167,NU,"Commode, pail or pan",,Each,,8.6,Replacement only for patient owned commode
E0168,NU/RR,"Commode, heavy duty",,Each/Month,14.45,130.05,Commode pail included
E0185,NU,Gel overlay mattress,,Each,,343.6,Purchase only
E0188,NU,Softgood kit for CPM,,Kit,,22.6,Purchase only
E0197,NU,Air pressure pad for mattress,,Each,,Retail less 25%,
E0199,NU,"Mattress, geo",,Each,,Retail less 25%,
E0236,RR,Aqua K pump,,Month,30,,Not covered by all LOB
E0241,NU,"Safety rail, bathtub wall",,Each,,20.7,Covered by PHA and YCCO. Not covered by PHP Commercial and PHP Medicare.
E0243,NU,"Safety rail, toilet",,Each,,34.8,Covered by PHA and YCCO. Not covered by PHP Commercial and PHP Medicare.
E0244,NU,Raised toilet seat (basic),,Each,,23.85,"Covered by PHA and YCCO. Not covered by PHP
Commercial and PHP Medicare."
E0245,NU,"Tub stool or bench, non-padded",,Each,,37.15,Covered by PHA and YCCO. Not covered by PHP Commercial and PHP Medicare.
E0247,NU,"Tub transfer bench, non-padded",,Each,,70.2,Covered by PHA and YCCO. Not covered by PHP Commercial and PHP Medicare.
E0248,NU,"Transfer bench, heavy duty",,Each,,Retail less 25%,"Covered by PHA and YCCO.
Not covered by PHP Commercial and PHP Medicare."
E0248,NU,"Transfer bench, heavy duty",,Each,,Retail less 25%,"Covered by PHA and YCCO.
Not covered by PHP Commercial and PHP Medicare."
E0249,NU,Aqua K pad,,Each,,60.75,Not covered by all LOB
E0255,NU/RR,"Hospital bed, Vari height w/rails & mattress, 350lb.
r.?n",,Each/Month,139,1339.8,"Certification required for rentals
greater than 3 months and for purchase."
E0256,NU/RR,"Hospital bed, Vari height w/rails, no mattress, 350lb.
r.?n",,Each/Month,117.45,1174.5,Certification required for rentals greater than 3 months and for purchase.
E0260,NU/RR,"Hospital bed, semi-electric w/rails& mattress, 350lb cap",,Each/Month,121.8,1339.8,Certification required for rentals greater than 3 months and for purchase.
E0265,NU/RR,"Hospital bed, full electric w/ rails & mattress, 350lb cap",,Each/Month,144,1584,Certification required
E0271,NU,"Mattress, innerspring",,Each,,165.3,"Replacement for patient owned
bed"
E0277,RR,Powered pressure reducing air mattress (replaces bed mattress),,Day,21.5,,"HS Certification required. HS may negotiate with Provider a rental to Cap at 13 months and after 13 months a maintenance rental can be billed every 6 months equivalent to 1 month
rental."
E0280,NU,Bed cradle,,Each,,32.65,Purchase only
E0294,NU/RR,"Hospital bed, semi-electric no rails& mattress, 350lb",,Each/Month,116.8,1284.8,Certification required for rentals greater than 3 months and for
E0296,NU/RR,"Hospital bed, Full-electric no rails & mattress, 350lb cap",,Each/Month,139,1529,Certification required
E0303,NU/RR,"Hospital bed, heavy duty, 350 lb. to 600 lb.",,Each/Month,247.4,2473.4,Certification required
E0304,NU/RR,"Hospital bed, heavy duty, 600Ib or greater",,Each/Month,593,5930,Certification required
E0305,NU/RR,"Bed rails, half length",,Pair/Month,12.9,129,
E0310,NU/RR,"Bed rails, full length",,Pair/Month,12.9,129,Covered by PHP Medicare only
E0372,NU**/RR,Powered air overlay for mattress,,Day,15,,"Certification required. HS may negotiate with Provider a rental to Cap at 13 months. After 13 months a maintenance rental
can be billed every 6 months equivalent to 1 month rental."
E0424,"RR,QG,QF",Stationary gaseous Oxygen system,,Month,154,,"Certification required
1. Includes equipment, contents, and supplies
2. Must enter LPM and saturations for all new orders
3. For LPMs over 4"
E0424,RR/QE,Stationary gaseous Oxygen system,,Month,77,,"Certification required
1. Includes equipment, contents, and supplies
2. Must enter LPM and saturations for all new orders
3. For LPMs under 1"
E0424,RR,Stationary gaseous Oxygen system,,Month,140,,"Certification required.
1. Includes equipment, contents, and supplies
2. Must enter LPM and saturations for all new orders"
E0431,RR,Portable Oxygen unit - high pressure,,Month,23.85,,"Certification required.
1. Includes equipment, contents, and supplies
2. Must enter LPM and saturations for all new orders"
E0441,NU,"Stationary compressed Oxygen cylinder (S, K - 282 cu ft)",,Month,,69.7,"Certification required. Only billable only for patient owned stationary system. Can only bill
code once per month to cover all tanks in a one month period."
E0442,RR,Liquid Oxygen contents,,Month,139.35,,"Certification required. Billable
with patient owned stationary system."
E0443,NU,"Portable compressed Oxygen contents (A,B,C,D,E,M,M6)",,"One Month's
Content",,69.7,Certification required. Billable with patient owned portable system.
E0445,NU/RR,Pulse oximeter,,Each/Month,184.5,Retail less 25%,Certification required
E0470,NU/RR,BiPAP- S,,Each/Month,196.65,1966.5,Certification required
E0471,NU/RR,"BiPAP - ST, with noninvasive interface",,Each/Month,465.3,4653,Certification required
E0472,NU/RR,"BiPAP - ST, with invasive interface",,Each/Month,494,4940,Certification required
E0480,NU/RR,Percussor,,Each/Month,35.85,396.15,
E0482,NU/RR,Cough stimulating device,,Month,Retail less 20%,Retail less 20%,
E0555,NU,Humidifier - disposable,,Each,,Non-billable,Non-billable
E0561,NU/RR,"Humidifier, non-heated, used with CPAP",,Each/Month,8.2,82,Certification required
E0562,NU/RR,"Humidifier, heated, used with CPAP",,Each/Month,18.8,188,Certification required
E0565,NU/RR,Compressor,,Each/Month,47,470,
E0570,NU,"Nebulizer, small volume w/ compressor",,Each,,83,Purchase only
E0574,NU,"Nebulizer, ultrasonic, small volume",,Each,,Retail less 25%,
E0575,NU/RR,"Nebulizer, ultrasonic, large
volume",,Each/Month,45,450,
E0600,RRNU,"Suction machine, home model",,Each/Month,32,320,
E0601,NU/RR,CPAP device,,Each/Month,78.75,787.5,Certification required
E0618,RR,Apnea monitor without recording feature,,Month,233.65,,
E0619,RR,Apnea monitor with recording feature,,Month,320,,
E0621,NU,Patient lift sling/ seat - canvas or nylon,,Each,,117,Certification required
E0627,NU,Mechanism for seat lift chair (incorporated in chair),,Each,,303.6,Certification required
E0630,NU/RR,"Patient lift, hydraulic",,Each/Month,77,770,Certification required
E0637,NU,"Combination sit-to-stand system, any size",,Each,,Retail less 25%,Certification required. Covered by PHA & YCCO. Not covered by all other LOB.
E0638,NU,"Standing frame system, any size",,Each,,Retail less 25%,Certification required. Not covered by PHP Medicare.
E0641,NU,"Standing frame system, multi-position, any size",,Each,,Retail less 25%,Certification required. Not covered by PHP Medicare.
E0642,NU,"Standing frame system, mobile, any size",,Each,,Retail less 25%,Certification required. Not covered by PHP Medicare.
E0705,NU,Transfer board,,Each,,47.15,Covered by PHA and YCCO. Not covered by PHP Commercial and PHP Medicare.
E0730,NU,"TENS unit, 4 Lead",,Each,,295,Certification required. Purchase Only. 30 day trial with compliance required.
E0731,NU,Conductive Garment worn with TENS unit,,Each,,360,Certification required. Purchase only.
E0745,NU/RR,Muscle stimulator,,Each/Month,76.5,803.5,
E0747,NU,Bone stimulator (Long Bone),,Each,,2850,Certification required
E0748,NU,Bone stimulator (Spine),,Each,,3600,Certification required
E0849,NU/RR,"Cervical traction
Free-Standing",,Each/Month,47,470,Rent or Purchase if RX supports
E0860,NU,"Traction, cervical over-door (basic)",,Each,,23.95,Purchase Only
E0910,NU/RR,"Trapeze bar, bed attached type",,Each/Month,15,150,
E0911,NU/RR,"Trapeze bar, heavy duty, attached to bed",,Each/Month,Retail less 25%,Retail less 25%,
E0912,NU/RR,"Trapeze bar, heavy duty, free standing",,Each/Month,Retail less 25%,Retail less 25%,
E0920,NU/RR,"Fracture frame, attached to hospital bed",,Each/Month,34.8,348,
E0935,RR,CPM- Continuous passive motion exercise device for knee,,Day,25,,"No certification required for first 21 days if the diagnosis is knee
replacement surgery. Otherwise, c:P.rtific:;:ition renuirerl."
E0936,RR,CPM- Continuous passive motion exercise device for other than knee,,Day,Retail less 25%,,Not covered for all LOB
E0940,NU/RR,Trapeze bar and frame (freestanding),,Each/Month,27.8,278,
E0941,RR,"Traction, pelvic 90/90",,Each/Month,37.1,468,
E0944,NU,"Traction, pelvic belt/ harness / boot",,Each,,39.2,Purchase only
E0950,NU,"Wheelchair accessory, tray",,Each,Retail less 36%,Retail less 36%,Covered for upper extremity support only
E0951,NU,Heel Loops,,Each,,18.25,
E0952,NU,Toe Loop/Holder,,Each,,18.1,
E0955,NU,"Wheelchair accessory, headrest, cushioned, any type, includes hardware",,Each,,194.1,
E0956,NU,"Wheelchair accessory, lateral trunk or hip support, any type, includes hardware",,Each,,94.6,
E0957,NU,"Wheelchair accessory, medial thigh support, any
type includes fixed mounting hardware",,Each,,132.35,
E0958,NU,"Wheelchair accessory, one-arm drive attachment",,Each,,Retail less 36%,
E0959,NU,"Wheelchair accessory, adapter for amputee",,Each,,41.75,
E0960,NU,"Wheelchair accessory, shoulder harness/straps or chest strap, includes
mounting hardware",,Each,,Retail less 36%,
E0961,NU,"Wheelchair accessory, wheel lock brake extension handle",,Each,,21.5,
E0966,NU,Wheelchair head rest extension,,Each,,74.5,
E0967,NU,Manual wc hand rim w project,,Each,,70.65,
E0968,NU,Wheelchair commode seat,,Each,,Retail less 36%,Not covered for all LOB
E0969,NU,Wheelchair narrowing device,,Each,,174.4,
E0971,NU/RR,"Anti-tipping device, manual wheelchair",,Each/Month,2.8,28,
E0973,NU,"Armrest, adjustable height, detachable, complete assembly",,Each,,110.35,
E0974,NU/RR,"Wheelchair accessory, antiroll back device",,Each,7.7,77,
E0978,NU,"Wheelchair accessory, belt/strap",,Each,,34.85,
E0980,NU,Wheelchair safety vest,,Each,,34.35,
E0981,NU,"Seat upholstery, replacement",,Each,,45.25,
E0982,NU,"Back upholstery, replacement",,Each,,49.45,
E0983,NU,Convert MWC to PWC-joystick control,,Each,,Retail less 36%,
E0984,NU,Convert MWC to PWC - tiller control,,Each,,Retail less 36%,
E0985,NU,"Wheelchair accessory, seat lift mechanism",,Each,,226,Certification required. Not covered all LOB.
E0986,NU,"Wheelchair accessory, push activated power assist",,Each,,Retail less 36%,Certification required
E0988,NU,"Wheelchair accessory, wheel drive",,Pair,,3204.3,Certification required
E0990,NU,Wheelchair elevating leg res,,Each,,96.25,
E0992,NU,Wheelchair solid seat insert,,Each,,78.1,
E0994,NU,Wheelchair arm rest,,Each,,18.1,
E0995,NU,Wheelchair calf rest,,Each,,29.15,
E1002,NU,"Wheelchair power seating system, tilt only",,Each,,3664.5,Certification required
E1003,NU,"Wheelchair power seating system, recline only, without shear reduction",,Each,,Retail less 36%,Certification required
E1004,NU,"Wheelchair power seating system, recline only, with mechanical shear reduction",,Each,,Retail less 36%,Certification required
E1005,NU,"Wheelchair power seating system, recline only, with power shear reduction",,Each,,Retail less 36%,Certification required
E1006,NU,"Wheelchair power seating system, combination tilt and recline, without shear
reduction",,Each,,Retail less 36%,Certification required
E1007,NU,"Wheelchair power seating system, combination tilt and recline, with mechanical
shear reduction",,Each,,7902.95,Certification required
E1008,NU,"Wheelchair power seating system, combination tilt and recline, with power shear
reduction",,Each,,Retail less 36%,Certification required
E1009,NU,"Addition to power seating system, mechanically linked leg elevation system, including pushrod and leg rest",,Each,,Retail less 36%,Certification required
E1010,NU,"Addition to power seating system, power leg elevation system, including leg rest",,Each,,Retail less 36%,Certification required
E1011,NU,"Modification to pediatric size WC, width adjustment pkg (not to be dispensed with
initial chair)",,Each,,Retail less 36%,Certification required
E1012,NU,"Wheelchair accessory, Center mount, power elevating leg rest",,Each,,1795,Certification required
E1014,NU,"Wheelchair accessory, reclining back, additional to pediatric wheelchair",,Each,,Retail less 36%,Certification required
E1015,NU,Shock absorber for manual wheelchair,,Each,,125.1,
E1016,NU,Shock absorber for power wheelchair,,Each,,125.1,
E1017-E1018,NU,"Wheelchair accessory, shock absorber",,Each,,Retail less 36%,
E1020,NU,"Residual limb support system for wheelchair, any type",,Each,,233.4,
E1028,NU,"Wheelchair accessory, mounting hardware for joystick, other control interface or positioning accessory",,Each,,198.1,Certification required
E1029,NU/RR,"Wheelchair accessory, vent tray",,Each,Retail less 36%,Retail less 36%,
E1030,NU/RR,"Wheelchair accessory, vent tray gimbaled",,Each,Retail less 36%,Retail less 36%,
E1031,NU/RR,Roll about chair (Geri-chair),,Each/Month,41,410,Certification required
E1035-E1037,NU,Transport chair,,Each,,Retail less 36%,Certification required
E1161,NU,Manual WC w/tilt in space,,Each,,2634,Certification required
E1220,NU/RR,"Wheelchair, specially sized or constructed",,Each/Month,112,896,Certification required
E1229,NU,"Wheelchair, pediatric size, not otherwise specified",,Each/Month,,Retail less 36%,Certification required
E1231,NU,"Wheelchair, pediatric size, tilt-in-space, rigid, adjustable, with seating
system",,Each/Month,,Retail less 36%,Certification required
E1232,NU,"Wheelchair, pediatric size, tilt-in-space, folding, adjustable, with seating system",,Each/Month,,Retail less 36%,Certification required
E1233,NU,"Wheelchair, pediatric size, tilt-in-space, rigid, adjustable, without seating
system",,Each/Month,,Retail less 36%,Certification required
E1234,NU,"Wheelchair, pediatric size, tilt-in-space, folding, adjustable, without seating
system",,Each/Month,,Retail less 36%,Certification required
E1235,NU,"Wheelchair, pediatric size, rigid, adjustable, with seating system",,Each/Month,,Retail less 36%,Certification required
E1236,NU,"Wheelchair, pediatric size, folding, adjustable, with seating system",,Each/Month,,Retail less 36%,Certification required
E1237,NU,"Wheelchair, pediatric size, rigid, adjustable, without seating system",,Each/Month,,Retail less 36%,Certification required
E1238,NU,"Wheelchair, pediatric size, folding, adjustable, without seating system",,Each/Month,,Retail less 36%,Certification required
E1355,NU/RR,Cart or stand for compressed gas cylinder,,Each/Month,4.5,49.5,Certification required
E1372,NU/RR,"Immersion external heater, wraparound",,Each/Month,40.5,405,Certification required. 1 every 3 years.
E1390,RR/QG,Oxygen concentrator,,Month,210,,"Certification required
1. Includes equipment and supplies
2. Must enter LPM and saturations for all new orders
3. For LPMs over 4"
E1390,RR/QE,Oxygen concentrator,,Month,70,,"Certification required
1. Includes equipment and supplies
2. Must enter LPM and saturations for all new orders
3. For LPMs under 1"
E1390,RR,Oxygen concentrator,,Month,140,,"Certification required
1. Includes equipment and supplies
2. Must enter LPM and saturations for all new orders"
E1392,RR,"Oxygen concentrator, portable",,Month,51,,Certification required. E1392 may not be billed with E1390.
E1399,NU/RR,"Durable Medical Equipment, miscellaneous",,Each/Month,Retail less 25%,Retail less 25%,Certification required
E2000,RR,"Gastric suction pump, home model",,Month,44.3,,Rental Only
E2201,NU/RR,"Wheelchair seat, non-
standard width 20 - 23",,Each/Month,15,150,
E2202,NU/RR,"Wheelchair seat, non-standard width 24 - 27 inches",,Each/Month,17.5,175,
E2203,NU/RR,"Wheelchair seat, non-standard width 20 - 21 inches",,Each/Month,15,150,
E2204,NU/RR,"Wheelchair seat, non-standard width 22 - 25 inches",,Each/Month,17.5,175,
E2205,NU,"Manual wheelchair accessory, hand rim",,Each,,30.1,
E2206,NU,Complete wheel lock assembly,,Each,,39.8,
E2208,NU/RR,Cylinder tank carrier,,Each/Month,11.2,112,
E2209,NU,Arm trough each,,Each,,101.15,
E2210,NU,Wheelchair bearings,,Each,,6.3,
E2211,NU,"Manual wheelchair accessory, pneumatic propulsion tire",,Each,,35.5,
E2212,NU,"Manual wheelchair accessory, pneumatic prop tire tube",,Each,,5.5,
E2213,NU,"Manual wheelchair accessory, pneumatic prop tire insert",,Each,,31,
E2214,NU,"Manual wheelchair accessory, pneumatic caster tire each",,Each,,30.35,
E2215,NU,"Manual wheelchair accessory, pneumatic caster tire tube",,Each,,10.5,
"E2216-
E2218",NU,Manual wheelchair accessories,,Each,,Retail less 36%,
E2219,NU,"Manual wheelchair accessory, foam caster tire any size ea.",,Each,,42.25,
E2220,NU,"Manual wheelchair accessory, solid propulsion tire each",,Each,,26.6,
E2221,NU,"Manual wheelchair accessory, solid caster tire each",,Each,,27.75,
E2222,NU,"Manual wheelchair accessory, solid caster integrated wheel",,Each,,23.15,
E2223,NU,"Manual wheelchair accessory, replacement valve",,Each,,Retail less 36%,
E2224,NU,Propulsion wheel excludes tire,,Each,,98.45,
E2225,NU,Caster wheel excludes tire,,Each,,19.4,
E2226,NU,Caster fork replacement only,,Each,,41,
E2228,NU,"Manual wheelchair accessory, wheelchair brake",,Each,,865.9,Certification required
E2231,NU,"Manual wheelchair accessory, solid seat support base",,Each,,144.9,
E2291-E2295,NU,Pediatric wheelchair accessories,,Each,,Retail less 36%,Certification required
E2310,NU,"Power wheelchair accessory, electronic connection between controller and 1 power seating system motor",,Each,,1122.7,Certification required
E2311,NU,"Power wheelchair accessory, electronic connection between controller and 2 or more power seat system motors",,Each,,2273.3,Certification required
E2312,NU,"Power wheelchair accessory, mini-prop remote joystick",,Each,,Retail less 36%,Certification required
E2313,NU,"Wheelchair accessory, harness, expand control",,Each,,Retail less 36%,Certification required
E2321,NU,"Power wheelchair accessory, hand control interface, remote joystick",,Each,,Retail less 36%,Certification required
E2322,NU,"Power wheelchair accessory, hand control
interface, multiple mechanical switches",,Each,,Retail less 36%,Certification required
E2323,NU,"Power wheelchair accessory, special joystick handle",,Each,,66.4,Certification required
E2324,NU,"Power wheelchair accessory, chin cup interface",,Each,,42.05,Certification required
E2325,NU,"Power wheelchair accessory, sip and puff interface",,Each,,Retail less 36%,Certification required
E2326,NU,"Power wheelchair accessory, breath tube kit for sip and puff interface",,Each,,Retail less 36%,Certification required
E2327,NU,"Power wheelchair accessory, head control interface, mechanical",,Each,,Retail less 36%,Certification required
E2328,NU,"Power wheelchair accessory, head control or
extremity control interface, electronic",,Each,,Retail less 36%,Certification required
E2329,NU,"Power wheelchair accessory, head control interface, contact switch
mechanism",,Each,,Retail less 36%,Certification required
E2330,NU,"PWC accessory, head control interface, proximity switch mechanism",,Each,,Retail less 36%,Certification required
E2340,NU,"Power wheelchair accessory, 20 - 24-inch width seat frame",,Each,,398.95,
E2341,NU,"Power wheelchair accessory, 24 - 27-inch width seat frame",,Each,,598.45,
E2342,NU,"Power wheelchair accessory, 20 - 21-inch depth seat frame",,Each,,498.75,
E2343,NU,"Power wheelchair accessory, 22 - 25-inch depth seat frame",,Each,,797.95,
E2351,NU,"Power wheelchair accessory, electronic interface to operate speech generating device using PWC control interface",,Each,,Retail less 36%,Certification required
E2359,NU,"Power wheelchair accessory, Group 34 sealed lead acid battery",,Each,,193.3,
E2360,NU,"Power wheelchair accessory, 22 NF non-sealed lead acid",,Each,,148,Certification required. Covered by PHA and YCCO. All other LOB not covered.
E2361,NU,"Power wheelchair accessory, 22 NF sealed lead acid battery (gel cell)",,Each,,131.6,
E2362,NU,"Power wheelchair accessory, group 24 non-sealed lead acid battery",,Each,,100.7,Certification required
E2363,NU,"Power wheelchair accessory, group 24 sealed lead acid battery (gel cell)",,Each,,175.5,
E2365,NU,"Power wheelchair accessory, u-1 sealed lead acid battery (gel cell)",,Each,,105.85,
E2366,NU,Battery charger for electric wheelchair,,Each,,252.95,
E2367,NU,Battery charger for electric wheelchair - dual,,Each,,402.1,Certification required
E2368,NU,"Power Wheelchair component, drive wheel motor, replacement only",,Each,,521.7,
E2369,NU,"Power Wheelchair component, drive wheel gear box, replacement only",,Each,,431.9,
E2370,NU,"Power wheelchair component; integrated drive wheel motor and gear box combination, replacement only",,Each,,770.4,
E2371,NU,"Power wheelchair accessory, group 27 sealed lead acid battery (gel cell)",,Each,,142.1,
E2372,NU,"Power wheelchair accessory, group 27 non-sealed lead acid battery",,Each,,Retail less 36%,Certification required. Not covered all LOB.
E2373,NU,"Power wheelchair accessory, hand or chin
control interface, compact remote joystick",,Each,,Retail less 36%,Certification required
E2374,NU,"Power wheelchair accessory, hand or chin control interface, standard
remote joystick",,Each,,Retail less 36%,Certification required
E2375,NU,"Power wheelchair accessory, nonexpendable controller, replacement only",,Each,,821.7,Certification required
E2376,NU,"Power wheelchair accessory, expandable controller, replacement only",,Each,,Retail less 36%,Certification required
E2377,NU,"Power wheelchair accessory, expandable
controller, provided at initial issue",,Each,,Retail less 36%,Certification required
E2378,NU,"Power wheelchair component, actuator, replacement only",,Each,,Retail less 36%,Certification required
E2381,NU,"Power wheelchair accessory, pneumatic drive wheel tire",,Each,,71.85,
E2382,NU,"Power wheelchair accessory, tube for pneumatic drive wheel tire",,Each,,19.6,
E2383,NU,"Power wheelchair accessory, insert for pneumatic drive wheel tire",,Each,,143.3,
E2384,NU,"Power wheelchair accessory, pneumatic caster tire",,Each,,76.4,
E2385,NU,"Power wheelchair accessory, tube for pneumatic caster tire",,Each,,46.7,
E2386,NU,"Power wheelchair accessory, foam filled drive wheel tire",,Each,,142,
E2387,NU,"Power wheelchair accessory, foam filled caster tire",,Each,,61.3,
E2388,NU,"Power wheelchair accessory, foam drive wheel tire",,Each,,48.35,
E2389,NU,"Power wheelchair accessory, foam caster tire",,Each,,26.25,
E2390,NU,"Power wheelchair accessory, solid drive wheel tire",,Each,,41.05,
E2391,NU,"Power wheelchair accessory, solid caster tire",,Each,,19.65,
E2392,NU,"Power wheelchair accessory, solid caster tire with integrated wheel",,Each,,51.7,
E2394,NU,"Power wheelchair accessory, drive wheel excludes tire",,Each,,73.65,
E2395,NU,"Power wheelchair accessory, caster wheel excludes tire",,Each,,52.35,
E2396,NU,"Power wheelchair accessory, caster fork",,Each,,63.8,
